Artist ,Event Title,Event Date,Year,Country ,City,Genre(s),Notes/Highlights
Ezzyland,Boxout Wednesdays 127,4th Sep,2019,,,,
DJ MoCity,Boxout Wednesdays 127,4th Sep,2019,,,,
Fatboi x Sadboi,Boxout Wednesdays 127,4th Sep,2019,,,,
General Zooz,Boxout Wednesdays 128,11th Sep,2019,,,,
Diggy Dang,Boxout Wednesdays 128,11th Sep,2019,,,,
DJ MoCity,Boxout Wednesdays 128,11th Sep,2019,,,,
Nishant gill,Boxout Wednesdays 128,11th Sep,2019,,,,
Plastician ,Boxout Wednesdays 129,18th Sep,2019,,,,
Stain ,Boxout Wednesdays 129,18th Sep,2019,,,,
DJ MoCity,Boxout Wednesdays 129,18th Sep,2019,,,,
Shama Anwar,Boxout Wednesdays 129,18th Sep,2019,,,,
Tayhana,Boxout Wednesdays 130,25th Sep,2019,,,,
thegreybox,Boxout Wednesdays 130,25th Sep,2019,,,,
DJ MoCity,Boxout Wednesdays 130,25th Sep,2019,,,,
Drum Attic,Boxout Wednesdays 130,25th Sep,2019,,,,
DJ Uri,Boxout Wednesdays 131,9th Oct,2019,,,,
Paper Queen,Boxout Wednesdays 131,9th Oct,2019,,,,
The Untitled One,Boxout Wednesdays 131,9th Oct,2019,,,,
Stain ,Boxout Wednesdays 131,9th Oct,2019,,,,
Fatboi x Sadboi,Boxout Wednesdays 131,9th Oct,2019,,,,
Renaat Vandepapeliere,Boxout Wednesdays 132,16th Oct,2019,,,,
Turbaraga,Boxout Wednesdays 132,16th Oct,2019,,,,
Shama Anwar,Boxout Wednesdays 132,16th Oct,2019,,,,
Abhi Meer,Boxout Wednesdays 133,23rd Oct,2019,,,,
Bast,Boxout Wednesdays 133,23rd Oct,2019,,,,
Drum Attic,Boxout Wednesdays 133,23rd Oct,2019,,,,
Nishant gill,Boxout Wednesdays 133,23rd Oct,2019,,,,
Boxout Soundsystem,Boxout Wednesdays 134,30th Oct,2019,,,,Halloween Special
Andre Power (Soulection),Boxout Wednesdays 135,6th Nov ,2019,,,,
Nash JR,Boxout Wednesdays 135,6th Nov ,2019,,,,
DJ MoCity,Boxout Wednesdays 135,6th Nov ,2019,,,,
Shama Anwar,Boxout Wednesdays 135,6th Nov ,2019,,,,
Eliphino ,Boxout Wednesdays 136,13th Nov ,2019,,,,
Suchi ,Boxout Wednesdays 136,13th Nov ,2019,,,,
Girls Night Out ,Boxout Wednesdays 136,13th Nov ,2019,,,,
Stain ,Boxout Wednesdays 136,13th Nov ,2019,,,,
Jubilee,Boxout Wednesdays 137,20th Nov,2019,,,,
Pia Collada,Boxout Wednesdays 137,20th Nov,2019,,,,
Sodhi,Boxout Wednesdays 137,20th Nov,2019,,,,
Shama Anwar,Boxout Wednesdays 137,20th Nov,2019,,,,
Almass Badat,Boxout Wednesdays 138,27th Nov,2019,,,,
Sarathy Korwar,Boxout Wednesdays 138,27th Nov,2019,,,,
DJ MoCity,Boxout Wednesdays 138,27th Nov,2019,,,,
Stain ,Boxout Wednesdays 138,27th Nov,2019,,,,
Kalé ,Boxout Wednesdays 139,4th Dec,2019,,,,
Nash JR,Boxout Wednesdays 139,4th Dec,2019,,,,
Lush Lata,Boxout Wednesdays 139,4th Dec,2019,,,,
