Artist ,Event Title,Event Date,Year,Country ,City,Genre(s),Notes/Highlights
Tayhana,Boxout Wednesdays 244,26th July ,2023,Mexico,Mexico City,"Global Club, Experimental, Bass, Techno",
Anisha ,Boxout Wednesdays 244,26th July ,2023,India ,Mumbai,"R&B, Soul, Pop, Electronic",
Xytech,Boxout Wednesdays 244,26th July ,2023,India ,Lucknow,"Electronica, Experimental, Techno, Club",
Unfuckman ,Boxout Wednesdays 245,2nd Aug,2023,India ,New Delhi ,"Hip-Hop, Beats, Club, Bass",
Frappe Ash ,Boxout Wednesdays 245,2nd Aug,2023,India ,New Delhi ,"Hip-Hop, Soul, R&B, Chillhop",
Revo Lekhak ,Boxout Wednesdays 245,2nd Aug,2023,India ,New Delhi ,"Hip-Hop, Rap, Spoken Word, Experimental",
Shauharty,Boxout Wednesdays 245,2nd Aug,2023,India ,New Delhi ,"Hip-Hop, Trap, Experimental, Club",
Baajewala,Boxout Wednesdays 245,2nd Aug,2023,India ,New Delhi ,"Hip-Hop, Beats, Reggae, Soul",
Kahn ,Boxout Wednesdays 246,9th Aug,2023,UK,Bristol,"Dubstep, Grime, Bass, UK Garage",
Stain ,Boxout Wednesdays 246,9th Aug,2023,India ,New Delhi ,"Bass, Dubstep, Breaks, Experimental",
Lacuna ,Boxout Wednesdays 246,9th Aug,2023,India ,New Delhi ,"Ambient, Downtempo, Electronica, Chill",
Tanzen,Boxout Wednesdays 246,9th Aug,2023,India ,New Delhi ,"House, Techno, Electronica, Experimental",
Nadi,Boxout Wednesdays 247,16th Aug,2023,UK,Bristol,"Downtempo, Electronica, Chillhop, Ambient",
Dr. Psych,Boxout Wednesdays 247,16th Aug,2023,India ,New Delhi ,"Techno, Ambient, Experimental, Downtempo",
PhreshPrince,Boxout Wednesdays 247,16th Aug,2023,India ,New Delhi ,"Hip-Hop, Rap, Experimental, Club",
Polo Lilli ,Boxout Wednesdays 248,23rd Aug,2023,UK,Bristol,"Hip-Hop, Beats, Soul, Chillhop",
Nariki,Boxout Wednesdays 248,23rd Aug,2023,India ,Mumbai,"Hip-Hop, Rap, Experimental, Club",
Bombie,Boxout Wednesdays 248,23rd Aug,2023,India ,New Delhi ,"Bass, Club, Grime, Experimental",
DEFT,Boxout Wednesdays 249,30th Aug,2023,UK,Croydon,"Electronica, Downtempo, Experimental, Ambient",
BLUnt ,Boxout Wednesdays 249,30th Aug,2023,India ,Mumbai,"Hip-Hop, Beats, Reggae, Soul",
Anirudh Khurana,Boxout Wednesdays 249,30th Aug,2023,India ,New Delhi ,"Electronica, Ambient, Downtempo, Experimental",
Abhinav,Boxout Wednesdays 249,30th Aug,2023,India ,New Delhi ,"Techno, House, Experimental, Minimal",
Jubilee,Boxout Wednesdays 250,6th Sep,2023,USA,New Orleans,"Club, Bass, UK Funky, Garage",
Raka Ashok,Boxout Wednesdays 250,6th Sep,2023,India ,Bengaluru,"Electronica, Ambient, Downtempo, Experimental",
Dam Square,Boxout Wednesdays 250,6th Sep,2023,India ,New Delhi ,"Techno, House, Experimental, Minimal",
Phaedrus,Boxout Wednesdays 250,6th Sep,2023,India ,New Delhi ,"Grime, UK Funky, Bass, Club",
Oblig ,Boxout Wednesdays 251,13h Sep,2023,UK,London,"Bass, Dubstep, Breaks, Experimental",
Stain ,Boxout Wednesdays 251,13h Sep,2023,India ,New Delhi ,"Hip-Hop, Beats, Club, Bass",
Benkii,Boxout Wednesdays 251,13h Sep,2023,India ,Bengaluru,"Drum and Bass, Jungle, Halftime, Breaks",
Rohh,Boxout Wednesdays 251,13h Sep,2023,India ,New Delhi ,"Hip-Hop, Beats, Soul, Chillhop",
Abhi Meer,Boxout Wednesdays 252,20th Sep,2023,India ,Mumbai,"Techno, House, Experimental, Minimal",
